id,name
39096,FWT Pro Tour 2025
36984,2026 FWT Challenger by Orage Qualifying List - Region 1
35763,2025 FWT Challenger by Orage Qualifying List - Region 1 
35698,FWT Qualifier Junior National Rankings 2025
35697,FWT Qualifier National Rankings 2025
35103,IFSA Qualifier Region 2 Americas 2025
34245,FWT Global Membership 2025
34214,FWT Junior Region 1 Europe-Oceania 2025
34213,FWT Qualifier Region 1 Europe-Oceania 2025
27777,Freeride Junior World Championships Ranking 2024
24941,FWT Junior Region 2 Americas 2022
24940,FWT Junior Region 2 Americas 2021
24939,FWT Junior Region 2 Americas 2020
24224,FWT Qualifier Junior National Rankings 2020
24223,FWT Qualifier National Rankings 2024
24222,FWT Qualifier Junior National Rankings 2022
24221,FWT Qualifier National Rankings 2022
24220,FWT Qualifier National Rankings 2020
24219,FWT Qualifier National Rankings 2023
24218,FWT Junior National Rankings 2024
24217,FWT Qualifier Junior National Rankings 2019
24216,FWT Qualifier Junior National Rankings 2023
24215,FWT Qualifier National Rankings 2019
24214,FWT Qualifier National Rankings 2021
24213,FWT Qualifier Junior National Rankings 2021
24183,FWT Qualifier Junior National Rankings 2018
24182,FWT Qualifier National Rankings 2018
24181,FWT Qualifier Junior National Rankings 2017
24180,FWT Qualifier National Rankings 2017
24148,FWT Qualifier National Rankings 2016
24147,FWT Qualifier Junior National Rankings 2016
24119,FWT Junior Region 2 Americas 2017
24048,FWT Junior Region 2 Americas 2016
24015,IFSA Challenger Region 2 - Americas 2024
23939,FWT Junior Region 2 Americas 2019
23938,FWT Pro Tour 2019
23937,FWT Junior Region 1 Europe-Oceania 2019
23936,FWT Qualifier Region 1 Europe-Oceania 2019
23934,FWT Qualifier Region 2 Americas 2019
23933,FWT Junior Region 2 Americas 2018
23932,FWT Pro Tour 2018
23931,FWT Qualifier Region 1 Europe-Oceania 2018
23929,FWT Junior Region 1 Europe-Oceania 2018
23927,FWT Qualifier Region 2 Americas 2018
23926,FWT Pro Tour 2017
23925,FWT Qualifier Region 2 Americas 2017
23924,FWT Junior Region 1 Europe-Oceania 2017
23922,FWT Qualifier Region 1 Europe-Oceania 2017
23921,FWT Junior Region 1 Europe-Oceania 2016
23920,FWT Qualifier Region 1 Europe-Oceania 2016
23918,FWT Qualifier Region 2 Americas 2016
23916,FWT Pro Tour 2016
23652,Freeride Junior World Championships Ranking 2020
23619,Freeride Junior World Championships Ranking 2021
23587,Freeride Junior World Championships Ranking 2022
23586,Freeride Junior World Championships Ranking 2023 
22101,FWT Challenger Region 1 Europe-Oceania 2024
20913,FWT Pro Tour 2024
20734,IFSA FWT Challenger Region 2 Americas 2023
20733,FWT Challenger Region 1 Europe-Oceania 2023
20732,FWT Pro Tour 2023
20731,FWT Junior Region 1 Europe-Oceania 2023
20730,IFSA Qualifier Region 2 Americas 2023
20729,FWT Qualifier Region 1 Europe-Oceania 2023
20728,IFSA FWT Challenger Region 2 Americas 2022
20727,FWT Challenger Region 1 Europe-Oceania 2022
20726,FWT Pro Tour 2022
20725,IFSA Qualifier Region 2 Americas 2022
20724,FWT Junior Region 1 Europe-Oceania 2022
20723,FWT Qualifier Region 1 Europe-Oceania 2022
20722,FWT Pro Tour 2021
20721,FWT Junior Region 1 Europe-Oceania 2021
20720,FWT Qualifier Region 1 Europe-Oceania 2021
20719,IFSA Qualifier Region 2 Americas 2021
20718,FWT Pro Tour 2020
20717,IFSA Qualifier Region 2 Americas 2020
20716,FWT Junior Region 1 Europe-Oceania 2020
20715,FWT Qualifier Region 1 Europe-Oceania 2020
20649,IFSA Junior Seeding List
18405,IFSA Qualifier Region 2 Americas 2024
18339,FWT Junior Region 1 Europe-Oceania 2024
18306,FWT Qualifier Region 1 Europe-Oceania 2024
17944,FWT Junior Seeding List
17943,FWT- IFSA Qualifier Global Seeding List
17580,FWT Global Membership 2024
